Title,Time,Url
"Strong Aegean Sea earthquake topples buildings in Turkey, shakes parts of Greece",2020-10-30 13:15 UTC,https://abc7.com/strong-aegean-sea-earthquake-topples-buildings-in-turkey/7479646/
Did you feel it? 3.3-magnitude earthquake reported near Flagstaff on Tuesday,2020-10-13 19:23 UTC,https://www.kgun9.com/news/state/did-you-feel-it-3-3-magnitude-earthquake-reported-near-flagstaff-on-tuesday
2.9-Magnitude Earthquake Hits Westmoreland County,2020-10-07 02:12 UTC,https://pittsburgh.cbslocal.com/2020/10/06/2-9-magnitude-earthquake-hits-westmoreland-county/
Earthquake swarm: Series of temblors could continue to rattle Salton Sea area for several days,2020-10-01 20:28 UTC,https://abc7.com/weather/earthquake-swarm-expected-to-continue-to-rattle-salton-sea-area/6698345/
"3.4-magnitude earthquake hits near Lake Elsinore, USGS says",2020-09-21 14:46 UTC,https://abc7.com/34-magnitude-earthquake-hits-near-lake-elsinore/6481068/
"4.5 magnitude earthquake hits San Gabriel Valley, with shaking felt throughout SoCal",2020-09-19 08:07 UTC,https://abc7.com/weather/45-magnitude-earthquake-rocks-san-gabriel-valley/6446110/
"4.5 magnitude earthquake hits San Gabriel Valley, shaking felt in I.E. - LIVE REPORT",2020-09-19 07:46 UTC,https://abc7.com/weather/45-magnitude-earthquake-rocks-san-gabriel-valley---live/6446110/
"3.1-magnitude earthquake hits New Jersey, USGS says",2020-09-09 07:51 UTC,https://abc7.com/31-magnitude-earthquake-hits-new-jersey/6415100/
4.0 magnitude earthquake strikes north of Ukiah,2020-08-19 01:19 UTC,https://abc7news.com/40-earthquake-strikes-north-of-ukiah-/6376964/
Genius New Android Phone Feature Could Save Lives With Earthquake Warnings,2020-08-15 04:00 UTC,https://www.forbes.com/sites/davidphelan/2020/08/15/genius-new-android-phone-feature-could-save-lives-with-earthquake-warnings/
Bible passage at Catholic Mass coincides with North Carolina earthquake,2020-08-11 14:59 UTC,https://www.wxii12.com/article/north-carolina-earthquake-bible-catholic-mass-charlotte/33574237
Governor Roy Cooper to tour Sparta earthquake damage,2020-08-11 14:07 UTC,https://www.wxii12.com/article/north-carolina-governor-roy-cooper-tour-sparta-earthquake/33573345
5.1 earthquake in North Carolina reportedly felt hundreds of miles away,2020-08-09 13:35 UTC,https://abc7news.com/weather/51-north-carolina-earthquake-reportedly-felt-hundreds-of-miles-away/6362448/
